,Movie Name,Movie Rating,Year,Run TIme,Certificate
185,186. Gone Girl,8.1 (178K),2014,2h 29m,U
186,187. Barry Lyndon,8.1 (573K),1975,3h 5m,A
187,188. Hacksaw Ridge,8.1 (162K),2016,2h 19m,A
188,189. On the Waterfront,8.1 (184K),1954,1h 48m,UA
189,190. In the Name of the Father,8.1 (206K),1993,2h 13m,UA
190,191. Salinui Chueok,8.1 (96K),2003,2h 11m,Passed
191,192. The General,8.1 (355K),1926,1h 18m,A
192,193. The Deer Hunter,8.1 (113K),1978,3h 3m,U
193,194. Smultronstället,8.1 (211K),1957,1h 31m,18
194,195. Relatos Salvajes,8.1 (179K),2014,2h 2m,U
195,196. The Third Man,8.2 (65K),1949,1h 44m,U
196,197. Le Salaire De La Peur,8.2 (55K),1953,2h 11m,Passed
197,198. Sherlock Jr.,8.1 (527K),1924,45m,U
198,199. Dead Poets Society,8.1 (1.1M),1989,2h 8m,UA
199,200. Mad Max: Fury Road,8.1 (956K),2015,2h,U
200,"201. Monsters, Inc.",8.1 (120K),2001,1h 32m,U
201,202. Mr. Smith Goes to Washington,8.1 (645K),1939,2h 9m,A
202,203. Jaws,8.1 (781K),1975,2h 4m,U
203,204. How to Train Your Dragon,8.1 (184K),2010,1h 38m,U
204,205. Mary and Max,8.1 (443K),2009,1h 32m,UA
205,206. Ford v. Ferrari,8.1 (194K),2019,2h 32m,A
206,207. Det Sjunde Inseglet,8.1 (441K),1957,1h 36m,U
207,208. Room,8.1 (843K),2015,1h 58m,UA
208,209. The Big Lebowski,8.1 (66K),1998,1h 57m,U
209,210. Tokyo Story,8.1 (796K),1953,2h 16m,U
210,211. Ratatouille,8.1 (614K),2007,1h 51m,U
211,212. Rocky,8.1 (367K),1976,2h,UA
212,213. Hotel Rwanda,8.1 (809K),2004,2h 1m,A
213,214. Logan,8.1 (492K),2017,2h 17m,A
214,215. Spotlight,8.1 (59K),2015,2h 9m,Passed
215,216. La passion de Jeanne d'Arc,8.1 (431K),1928,1h 50m,UA
216,217. Platoon,8.1 (905K),1986,2h,A
217,218. The Terminator,8.8 (212K),1984,1h 47m,A
218,219. Jai Bhim,8.1 (281K),2021,2h 44m,A
219,220. Before Sunset,8.1 (503K),2004,1h 20m,R
220,221. Rush,8.1 (167K),2013,2h 3m,UA
221,222. Network,8.1 (444K),1976,2h 1m,A
